truthClass,truthMean
no-clickbait,0.46666667
no-clickbait,0.13333334
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.6
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.06666667
no-clickbait,0.4
no-clickbait,0.26666668
clickbait,0.6666667
clickbait,0.46666667
clickbait,0.46666667
no-clickbait,0.26666668
clickbait,0.4
no-clickbait,0.33333334
clickbait,0.6
clickbait,0.53333336
no-clickbait,0.4
no-clickbait,0.26666668
no-clickbait,0.13333334
no-clickbait,0
no-clickbait,0.33333334
no-clickbait,0.26666668
clickbait,0.6
clickbait,0.53333336
clickbait,0.4
clickbait,0.6
clickbait,0.73333335
no-clickbait,0.46666667
no-clickbait,0.33333334
no-clickbait,0.06666667
no-clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.46666667
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.2
clickbait,0.73333335
no-clickbait,0.46666667
no-clickbait,0.26666668
clickbait,0.53333336
no-clickbait,0.26666668
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.53333336
no-clickbait,0.06666667
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.4
no-clickbait,0.33333334
no-clickbait,0.4
no-clickbait,0.13333334
clickbait,0.6
no-clickbait,0.4
no-clickbait,0.06666667
no-clickbait,0.53333336
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.2
clickbait,0.6
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.53333336
clickbait,0.8
no-clickbait,0.26666668
no-clickbait,0.06666667
clickbait,0.6666667
no-clickbait,0.33333334
clickbait,0.6666667
no-clickbait,0.46666667
no-clickbait,0
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0.06666667
clickbait,0.53333336
no-clickbait,0.33333334
clickbait,0.53333336
no-clickbait,0.33333334
no-clickbait,0.33333334
clickbait,0.93333334
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0
clickbait,0.53333336
clickbait,0.8666667
no-clickbait,0.33333334
no-clickbait,0.2
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.6
no-clickbait,0.2
no-clickbait,0.46666667
clickbait,0.4
clickbait,0.73333335
clickbait,1
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.46666667
no-clickbait,0.06666667
no-clickbait,0.26666668
clickbait,0.46666667
no-clickbait,0.26666668
clickbait,0.6
no-clickbait,0
no-clickbait,0.06666667
no-clickbait,0.4
clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.2
clickbait,0.8
no-clickbait,0.26666668
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.13333334
clickbait,0.6666667
no-clickbait,0.2
clickbait,0.6666667
no-clickbait,0.06666667
clickbait,0.8
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.33333334
no-clickbait,0.2
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.26666668
clickbait,0.53333336
clickbait,0.8
no-clickbait,0.2
clickbait,0.6666667
clickbait,0.73333335
no-clickbait,0.33333334
no-clickbait,0.46666667
clickbait,0.46666667
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,1
no-clickbait,0.46666667
no-clickbait,0.06666667
clickbait,0.8
no-clickbait,0.4
no-clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.06666667
no-clickbait,0.4
no-clickbait,0.46666667
clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.6666667
clickbait,0.46666667
no-clickbait,0.4
no-clickbait,0.2
clickbait,0.53333336
clickbait,0.53333336
clickbait,0.53333336
clickbait,0.93333334
no-clickbait,0.26666668
no-clickbait,0.26666668
no-clickbait,0
clickbait,0.73333335
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.26666668
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.46666667
no-clickbait,0.46666667
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0
clickbait,0.6
no-clickbait,0.2
no-clickbait,0
clickbait,0.93333334
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.13333334
clickbait,0.6666667
no-clickbait,0.13333334
clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.4
no-clickbait,0.13333334
clickbait,0.73333335
clickbait,0.93333334
no-clickbait,0.2
no-clickbait,0.2
clickbait,0.53333336
no-clickbait,0
no-clickbait,0.33333334
no-clickbait,0.26666668
no-clickbait,0.2
clickbait,0.53333336
no-clickbait,0.2
clickbait,0.8
no-clickbait,0.2
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.46666667
no-clickbait,0.06666667
clickbait,0.6666667
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0.13333334
clickbait,0.53333336
no-clickbait,0.06666667
clickbait,0.6666667
clickbait,0.8
no-clickbait,0
no-clickbait,0.4
clickbait,0.8
no-clickbait,0
no-clickbait,0
clickbait,0.53333336
clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.53333336
no-clickbait,0.33333334
clickbait,0.8
no-clickbait,0.4
clickbait,0.8
no-clickbait,0.46666667
clickbait,0.46666667
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.33333334
no-clickbait,0.53333336
no-clickbait,0.06666667
clickbait,0.6
no-clickbait,0.26666668
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.4
clickbait,0.93333334
no-clickbait,0.4
no-clickbait,0.13333334
clickbait,0.8
no-clickbait,0.2
no-clickbait,0.06666667
clickbait,0.8
no-clickbait,0.33333334
no-clickbait,0.4
clickbait,0.6666667
no-clickbait,0.4
no-clickbait,0.4
no-clickbait,0.06666667
clickbait,0.8
no-clickbait,0.33333334
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.46666667
no-clickbait,0.13333334
clickbait,0.46666667
clickbait,0.8
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.26666668
clickbait,0.6
clickbait,0.73333335
no-clickbait,0.26666668
no-clickbait,0
no-clickbait,0.06666667
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.53333336
clickbait,0.46666667
no-clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.26666668
clickbait,0.73333335
no-clickbait,0.4
no-clickbait,0.13333334
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.46666667
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.73333335
clickbait,0.6
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.4
clickbait,0.6
clickbait,0.53333336
no-clickbait,0
no-clickbait,0.46666667
clickbait,0.6
clickbait,0.6
clickbait,0.6
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.06666667
no-clickbait,0.06666667
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.26666668
no-clickbait,0.13333334
no-clickbait,0
clickbait,0.46666667
clickbait,0.6666667
no-clickbait,0.13333334
clickbait,0.6
clickbait,0.8
no-clickbait,0.06666667
clickbait,0.6
no-clickbait,0.2
no-clickbait,0.4
clickbait,0.53333336
no-clickbait,0.26666668
clickbait,0.6666667
no-clickbait,0.13333334
clickbait,0.53333336
no-clickbait,0.26666668
clickbait,0.6
no-clickbait,0.06666667
clickbait,0.6666667
no-clickbait,0.46666667
no-clickbait,0.26666668
no-clickbait,0.13333334
no-clickbait,0.2
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0.06666667
clickbait,0.6
no-clickbait,0.06666667
no-clickbait,0.33333334
clickbait,0.46666667
no-clickbait,0.33333334
clickbait,0.4
clickbait,0.8
no-clickbait,0.33333334
clickbait,0.6666667
no-clickbait,0.26666668
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.46666667
no-clickbait,0.2
clickbait,0.8
clickbait,0.93333334
no-clickbait,0.33333334
clickbait,0.6
clickbait,0.6666667
no-clickbait,0.46666667
no-clickbait,0.26666668
no-clickbait,0
no-clickbait,0.2
no-clickbait,0.2
clickbait,0.6666667
clickbait,0.8
no-clickbait,0.13333334
no-clickbait,0
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.8
no-clickbait,0.26666668
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.26666668
clickbait,0.8
no-clickbait,0.06666667
clickbait,0.8
no-clickbait,0.4
no-clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.4
no-clickbait,0.33333334
clickbait,0.4
clickbait,0.8
no-clickbait,0.46666667
no-clickbait,0.53333336
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.26666668
no-clickbait,0.06666667
no-clickbait,0.4
clickbait,0.8
clickbait,0.46666667
no-clickbait,0.4
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0.26666668
no-clickbait,0.53333336
no-clickbait,0.33333334
clickbait,0.6666667
no-clickbait,0.46666667
no-clickbait,0.26666668
no-clickbait,0.46666667
no-clickbait,0.26666668
clickbait,0.8
no-clickbait,0.46666667
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0
clickbait,0.6666667
clickbait,0.6
no-clickbait,0.2
clickbait,0.8
no-clickbait,0.4
no-clickbait,0.06666667
no-clickbait,0.33333334
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.46666667
clickbait,0.53333336
clickbait,0.73333335
no-clickbait,0.06666667
no-clickbait,0.13333334
no-clickbait,0.2
no-clickbait,0.33333334
clickbait,0.73333335
no-clickbait,0
clickbait,0.53333336
no-clickbait,0.06666667
no-clickbait,0
no-clickbait,0.2
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.06666667
no-clickbait,0
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.6
no-clickbait,0.2
no-clickbait,0.46666667
no-clickbait,0.4
clickbait,0.8
no-clickbait,0.33333334
no-clickbait,0.26666668
clickbait,0.8
clickbait,0.46666667
no-clickbait,0.2
clickbait,0.53333336
no-clickbait,0.26666668
clickbait,0.73333335
no-clickbait,0.4
clickbait,0.73333335
no-clickbait,0.33333334
clickbait,0.8666667
no-clickbait,0.46666667
no-clickbait,0.06666667
no-clickbait,0
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.2
clickbait,0.6
no-clickbait,0.26666668
no-clickbait,0
no-clickbait,0
no-clickbait,0.33333334
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,0.53333336
no-clickbait,0.2
clickbait,0.73333335
clickbait,0.6
no-clickbait,0.33333334
no-clickbait,0.46666667
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.53333336
no-clickbait,0.53333336
clickbait,0.6
no-clickbait,0.33333334
no-clickbait,0.26666668
clickbait,0.6
no-clickbait,0.13333334
no-clickbait,0.33333334
no-clickbait,0.2
no-clickbait,0
clickbait,0.6666667
no-clickbait,0
no-clickbait,0.33333334
no-clickbait,0.06666667
clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.26666668
clickbait,0.6
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.26666668
no-clickbait,0
no-clickbait,0.33333334
no-clickbait,0.2
no-clickbait,0.13333334
clickbait,0.53333336
no-clickbait,0.46666667
clickbait,0.73333335
clickbait,0.6666667
no-clickbait,0.06666667
no-clickbait,0.26666668
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.4
no-clickbait,0.53333336
no-clickbait,0.26666668
no-clickbait,0.4
clickbait,0.8666667
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.26666668
no-clickbait,0.06666667
no-clickbait,0.4
no-clickbait,0
no-clickbait,0.26666668
no-clickbait,0.06666667
no-clickbait,0.33333334
clickbait,0.6666667
clickbait,0.53333336
clickbait,0.46666667
no-clickbait,0.2
clickbait,0.4
no-clickbait,0.53333336
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,0.6666667
clickbait,0.93333334
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0.26666668
no-clickbait,0.26666668
no-clickbait,0.26666668
clickbait,0.6
no-clickbait,0.26666668
no-clickbait,0.4
no-clickbait,0.26666668
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,0.73333335
no-clickbait,0.4
no-clickbait,0.46666667
no-clickbait,0
no-clickbait,0
no-clickbait,0.26666668
clickbait,0.6666667
no-clickbait,0.46666667
no-clickbait,0.13333334
clickbait,0.6666667
no-clickbait,0.06666667
no-clickbait,0.26666668
clickbait,0.46666667
clickbait,0.6666667
clickbait,0.8
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.06666667
clickbait,0.6
no-clickbait,0.33333334
clickbait,0.53333336
clickbait,0.53333336
no-clickbait,0.33333334
clickbait,0.93333334
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0.26666668
clickbait,0.6666667
no-clickbait,0.2
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0.46666667
clickbait,0.6
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.33333334
clickbait,0.6
no-clickbait,0.46666667
clickbait,0.6666667
no-clickbait,0.4
no-clickbait,0.4
clickbait,0.6666667
no-clickbait,0.4
no-clickbait,0.26666668
no-clickbait,0.46666667
no-clickbait,0.2
clickbait,0.46666667
no-clickbait,0.13333334
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.13333334
no-clickbait,0.13333334
clickbait,0.6
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.26666668
no-clickbait,0.2
no-clickbait,0.53333336
clickbait,0.46666667
clickbait,0.8
clickbait,0.73333335
clickbait,0.4
no-clickbait,0.2
no-clickbait,0.4
no-clickbait,0
no-clickbait,0.06666667
no-clickbait,0.06666667
clickbait,0.6666667
clickbait,0.46666667
no-clickbait,0
no-clickbait,0.4
no-clickbait,0.2
no-clickbait,0.2
no-clickbait,0.33333334
no-clickbait,0.26666668
clickbait,0.6666667
no-clickbait,0.13333334
no-clickbait,0.4
no-clickbait,0.4
no-clickbait,0.13333334
clickbait,0.73333335
clickbait,0.8
no-clickbait,0.13333334
no-clickbait,0
no-clickbait,0.13333334
clickbait,0.6
no-clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.06666667
clickbait,0.4
clickbait,0.53333336
clickbait,0.6666667
no-clickbait,0.4
clickbait,0.4
clickbait,0.73333335
clickbait,0.8666667
no-clickbait,0.06666667
no-clickbait,0.4
clickbait,0.46666667
clickbait,0.6666667
no-clickbait,0.2
no-clickbait,0.33333334
clickbait,0.73333335
clickbait,0.8666667
no-clickbait,0.13333334
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.26666668
no-clickbait,0.4
no-clickbait,0.33333334
no-clickbait,0.26666668
no-clickbait,0.33333334
no-clickbait,0.33333334
clickbait,0.8666667
no-clickbait,0.26666668
no-clickbait,0.46666667
no-clickbait,0.2
no-clickbait,0.26666668
no-clickbait,0.13333334
clickbait,0.6666667
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.06666667
no-clickbait,0.33333334
no-clickbait,0.26666668
no-clickbait,0.13333334
clickbait,0.6
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.46666667
clickbait,0.6
no-clickbait,0.13333334
no-clickbait,0.33333334
clickbait,0.6
clickbait,0.53333336
no-clickbait,0.2
no-clickbait,0.33333334
no-clickbait,0.13333334
no-clickbait,0.4
